Category,Message
spam,Get cheap Ray-Ban Sunglasses with free shipping worldwide! Order at http://claim-now-win.com
spam,Congratulations! You won $1000 Cash. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
spam,Get cheap Crypto Trading Bot with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
ham,Your order for coffee mug has been confirmed. Track your delivery online.
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
spam,Congratulations! You won iPhone 15 Pro. Redeem at http://claim-now-win.com now before offer expires.
ham,"Hi team, please find attached the meeting notes for our project sync."
ham,Thanks Laura for sending over the design mockups. It looks great!
ham,"Hi David, can you review the financial summary by 2:00 PM? Let me know your thoughts."
ham,The meeting has been rescheduled to Friday 11:00 AM due to room availability. Updated calendar invite attached.
spam,Get cheap Designer Watches with free shipping worldwide! Order at http://claim-now-win.com
spam,Get cheap Viagra & Cialis with free shipping worldwide! Order at http://secure-verify-account.net
spam,Exclusive deal! 95% off on luxury Keto Weight Loss Pills. Shop now at http://claim-now-win.com
ham,"Hi team, please find attached the financial summary for our project sync."
ham,"Hi Sarah, could you please review the attached contract draft and let me know if any clauses need revision?"
ham,"Hi all, please note that the office will be closed on next Tuesday."
ham,"Hi team, please find attached the financial summary for our project sync."
ham,"Hi all, please note that the office will be closed on Friday."
spam,"Exclusive Limited Time Offer! Get 80% off luxury Swiss watches, Rolex, Omega. Free shipping worldwide! Order now http://replica-luxury-watches.com"
spam,"WINNER!! As a valued customer, you have won a guaranteed £1000 cash or a 4* holiday in Spain! Call 09061701461 now."
spam,URGENT: Reply YES to win $500 Amazon Gift Card! Click http://secure-verify-account.net or call 0871-240-0010
spam,FINAL NOTICE: Overdue payment for Amazon. Call 0906-778-900 to prevent legal action.
ham,"Hi John, can you review the financial summary by tomorrow morning? Let me know your thoughts."
spam,FINAL NOTICE: Overdue payment for Wells Fargo. Call 0871-240-0010 to prevent legal action.
spam,ALERT: Your Apple ID account is blocked. Verify at http://bit.ly/exclusive-bonus immediately.
ham,"Hi all, please note that the office will be closed on Wednesday."
ham,"Hey Daniel, are we still meeting at this afternoon for code review session?"
spam,Congratulations! You won Free Rolex Watch. Redeem at http://claim-now-win.com now before offer expires.
ham,"Dear Student, Your registration for Fall 2026 courses has been confirmed. View your schedule in the student portal."
spam,ALERT: Your Wells Fargo account is blocked. Verify at http://cheap-deals-online.org immediately.
spam,Exclusive deal! 90% off on luxury Designer Watches. Shop now at http://cheap-deals-online.org
spam,Congratulations! You won $1000 Cash. Redeem at http://bit.ly/exclusive-bonus now before offer expires.
spam,Get cheap Ray-Ban Sunglasses with free shipping worldwide! Order at http://bit.ly/exclusive-bonus
ham,"Hi David, could you please help me with the documentation update when you have a moment?"
ham,"Hi Daniel, can you review the meeting notes by 4:30 PM? Let me know your thoughts."
ham,"Hi Jessica, could you please help me with the database migration when you have a moment?"
ham,"Hi Kevin, can you review the project proposal by 10:00 AM? Let me know your thoughts."
spam,"Earn $2,500 daily working from home. No experience needed. Details: http://claim-now-win.com"
ham,Thanks Daniel for sending over the financial summary. It looks great!
spam,Congratulations! You won 200 Free Bitcoin. Redeem at http://cheap-deals-online.org now before offer expires.
ham,Reminder: team standup is scheduled for Friday at 4:30 PM. See you there!
ham,"Hi all, please note that the office will be closed on Monday."
